                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8727,                 1.5383,                 2.3391,                0.94192,                0.84256,                0.91466,                0.51705,                 1.5238,                  1.181,                 2.1116,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.8612,                 1.4434,                 2.3394,                0.96314,                 0.7987,                0.87478,                0.53815,                 1.4209,                 1.3638,                 2.0572,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.8501,                 1.5981,                 2.2877,                0.90307,                0.84699,                0.91991,                0.57889,                 1.2991,                 1.1173,                 1.9059,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.8019,                 1.4498,                 2.2141,                0.96241,                0.83766,                0.94062,                0.52895,                 1.4728,                 1.0689,                 2.0535,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.7991,                 1.3958,                 2.2322,                0.95499,                0.85065,                0.93382,                0.56532,                 1.4874,                 1.0836,                 2.0603,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.7705,                 1.3504,                 2.1604,                0.99441,                0.83117,                0.90696,                0.56604,                 1.3059,                  1.036,                 1.9809,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.7966,                 1.3998,                 2.2803,                0.86026,                0.81818,                0.92826,                0.58205,                 1.3377,                 1.2654,                 1.9187,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.7212,                 1.3606,                 2.1876,                0.91059,                0.83766,                0.93285,                0.60167,                 1.2765,                 1.0214,                 1.9004,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.8143,                 1.4081,                 2.2058,                0.93465,                0.85065,                0.92468,                0.58356,                 1.3476,                 1.0133,                 1.9016,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.7618,                 1.4212,                 2.1765,                0.94895,                0.84486,                0.93425,                0.60758,                 1.3437,                 1.0638,                  1.932,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.8102,                 1.3995,                 2.2088,                0.90885,                0.90648,                0.95627,                0.56327,                 1.4186,                 1.0622,                 1.9922,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.7383,                 1.4163,                 2.1834,                0.92591,                0.91558,                0.95567,                0.61063,                 1.2757,                0.94185,                 1.8988,              0.0018297,              0.0018297,              0.0018297
                     46,                  1.744,                 1.3842,                 2.2175,                0.89267,                 0.8641,                0.94236,                0.61714,                 1.2652,                0.88492,                 1.8822,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.7395,                 1.3189,                 2.1993,                0.82519,                0.88892,                0.93787,                0.61893,                 1.1864,                0.95796,                 1.8115,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.7712,                 1.3813,                 2.2227,                0.90778,                0.89489,                0.96996,                0.54869,                 1.5426,                0.97447,                 2.1067,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.7138,                 1.3512,                  2.152,                0.97943,                0.81169,                0.96536,                0.64965,                 1.1637,                0.87014,                 1.8405,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.6632,                 1.2591,                 2.1257,                0.95239,                0.85065,                0.96716,                0.63164,                 1.3025,                0.82741,                 1.8924,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.6275,                 1.2396,                 2.1198,                0.91197,                0.88961,                0.95254,                0.63107,                 1.1873,                0.82555,                 1.8209,               0.001806,               0.001806,               0.001806
                     52,                 1.7014,                 1.2682,                 2.1653,                0.95129,                0.88771,                0.94927,                0.62289,                 1.2974,                0.89997,                 1.8667,               0.001802,               0.001802,               0.001802
                     53,                 1.6953,                 1.2241,                 2.0809,                0.92504,                0.91558,                0.94165,                0.60754,                 1.2055,                0.90053,                 1.8235,               0.001798,               0.001798,               0.001798
                     54,                 1.6565,                 1.2313,                 2.1336,                0.96146,                0.88312,                0.97358,                0.62996,                 1.2266,                0.84136,                 1.8711,              0.0017941,              0.0017941,              0.0017941
                     55,                  1.723,                 1.3803,                 2.1669,                0.95374,                0.88961,                0.97362,                 0.5762,                 1.3922,                0.83972,                 1.9633,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.6318,                 1.2415,                 2.0579,                0.91176,                0.87222,                0.95473,                0.57467,                 1.4237,                0.90961,                  1.995,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.6877,                 1.2138,                 2.0796,                0.98467,                0.83445,                0.95462,                0.57752,                 1.4152,                0.89981,                 1.9508,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.6273,                 1.2317,                 2.0531,                 0.9627,                0.83794,                0.96642,                 0.6003,                 1.3283,                0.86935,                 1.9079,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.6821,                 1.2405,                 2.1008,                0.95144,                0.85714,                0.96499,                0.54705,                 1.4822,                0.83763,                 1.9944,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.6262,                 1.1986,                 2.0549,                0.91564,                0.86364,                0.93772,                0.54993,                 1.4851,                 0.9371,                  1.993,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.6301,                 1.2218,                 2.0539,                0.95832,                0.89576,                0.96977,                0.67214,                 1.1839,                0.86073,                 1.7669,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.6044,                 1.2053,                  2.043,                0.95764,                0.88079,                0.96035,                0.64322,                 1.1905,                0.86878,                 1.7886,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.5816,                 1.1869,                 2.0238,                0.97024,                0.84685,                0.94776,                0.58755,                 1.3567,                0.87367,                 1.9113,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.6337,                 1.1405,                 2.0424,                 0.9457,                0.90483,                0.96546,                0.66589,                 1.1064,                0.75828,                 1.7583,              0.0017545,              0.0017545,              0.0017545
                     65,                  1.546,                 1.2077,                  1.994,                0.94399,                 0.8756,                0.96664,                0.63977,                 1.2225,                0.75898,                  1.799,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.5596,                 1.1088,                  1.942,                0.92413,                0.90909,                0.97276,                0.64386,                 1.2131,                0.77011,                  1.773,              0.0017466,              0.0017466,              0.0017466
                     67,                 1.5697,                 1.1473,                 1.9749,                0.93553,                0.94234,                0.97863,                0.64546,                 1.2085,                0.78546,                 1.7471,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.5572,                  1.138,                 1.9909,                0.97276,                0.92748,                0.97859,                0.64082,                 1.2254,                0.73044,                 1.7774,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.5548,                 1.1605,                 2.0122,                0.90538,                0.93506,                0.97501,                0.61618,                 1.2583,                0.84492,                 1.8668,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.5605,                 1.1411,                 1.9738,                0.94298,                 0.9026,                0.94556,                0.61037,                 1.1638,                0.78356,                 1.7899,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.5524,                 1.1388,                 1.9856,                0.90649,                0.94429,                0.97432,                0.65614,                 1.2158,                0.74863,                 1.7871,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.5579,                 1.0802,                 2.0431,                0.95273,                0.92857,                0.97578,                0.61952,                 1.3568,                0.72626,                  1.908,              0.0017228,              0.0017228,              0.0017228
                     73,                 1.5811,                 1.0569,                 2.0124,                 0.9579,                0.85714,                0.96278,                0.64717,                 1.1761,                0.77555,                 1.7875,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.5158,                  1.072,                 1.9727,                0.90888,                0.90678,                0.96339,                 0.6253,                 1.2995,                0.77966,                 1.9007,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.5809,                  1.132,                 2.0392,                0.88838,                0.92208,                0.96246,                0.61708,                 1.3589,                0.79073,                 1.8735,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.5443,                  1.082,                 1.9957,                0.92351,                 0.9408,                0.97247,                 0.6403,                 1.2904,                0.78009,                 1.8477,               0.001707,               0.001707,               0.001707
                     77,                 1.6282,                 1.1339,                 2.0525,                0.92725,                0.88312,                 0.9669,                0.57083,                 1.4801,                0.78457,                 1.9945,               0.001703,               0.001703,               0.001703
                     78,                  1.558,                 1.0827,                 1.9889,                0.94516,                0.93506,                0.96898,                0.64169,                 1.1983,                0.73671,                 1.8049,               0.001699,               0.001699,               0.001699
                     79,                 1.5749,                 1.0719,                 2.0149,                0.92202,                 0.9214,                0.96563,                0.62878,                 1.2503,                0.76069,                 1.7524,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.5537,                 1.1041,                 1.9778,                0.95956,                0.92449,                0.96159,                 0.6257,                 1.2174,                0.71923,                 1.7567,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.5462,                  1.079,                 1.9437,                0.96493,                0.89337,                0.96861,                0.61994,                 1.2829,                0.71859,                 1.8158,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.4704,                 1.0304,                  1.897,                0.96519,                0.92208,                0.97268,                0.63961,                  1.181,                0.77765,                 1.7226,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.4759,                 1.0464,                 1.8987,                 0.9444,                0.94156,                 0.9716,                0.66562,                 1.1672,                0.71946,                 1.7143,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.6008,                 1.0722,                 2.0216,                0.95548,                0.93506,                0.98303,                0.67947,                 1.1081,                0.64521,                 1.6627,              0.0016753,              0.0016753,              0.0016753
